Feature
events_perc_class_1
events_perc_class_2
Area_mean_class1
Area_std_class1
Area_mad_class1
Area_p20_class1
Area_p50_class1
Area_p80_class1
Area_Ratio_mean_class1
Area_Ratio_std_class1
Area_Ratio_mad_class1
Area_Ratio_p20_class1
Area_Ratio_p50_class1
Area_Ratio_p80_class1
Area_mean_class2
Area_std_class2
Area_mad_class2
Area_p20_class2
Area_p50_class2
Area_p80_class2
Area_Ratio_mean_class2
Area_Ratio_std_class2
Area_Ratio_mad_class2
Area_Ratio_p20_class2
Area_Ratio_p50_class2
Area_Ratio_p80_class2
